"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"178","1.663138","192.168.2.2","192.168.1.2","TCP","66","194560","5001  >  45814 [ACK] Seq=1 Ack=201273 Win=194560 Len=0 TSval=2324609118 TSecr=791236592"
"181","1.687640","192.168.2.2","192.168.1.2","TCP","66","197632","5001  >  45814 [ACK] Seq=1 Ack=202721 Win=197632 Len=0 TSval=2324609142 TSecr=791236624"
"184","1.699670","192.168.2.2","192.168.1.2","TCP","66","203264","5001  >  45814 [ACK] Seq=1 Ack=205617 Win=203264 Len=0 TSval=2324609155 TSecr=791236648"
"186","1.723949","192.168.2.2","192.168.1.2","TCP","66","208896","5001  >  45814 [ACK] Seq=1 Ack=208513 Win=208896 Len=0 TSval=2324609179 TSecr=791236672"
"188","1.748388","192.168.2.2","192.168.1.2","TCP","66","215040","5001  >  45814 [ACK] Seq=1 Ack=211409 Win=215040 Len=0 TSval=2324609203 TSecr=791236672"
"190","1.772515","192.168.2.2","192.168.1.2","TCP","66","220672","5001  >  45814 [ACK] Seq=1 Ack=214305 Win=220672 Len=0 TSval=2324609227 TSecr=791236696"
"192","1.797379","192.168.2.2","192.168.1.2","TCP","66","226304","5001  >  45814 [ACK] Seq=1 Ack=217201 Win=226304 Len=0 TSval=2324609252 TSecr=791236721"
"194","1.820932","192.168.2.2","192.168.1.2","TCP","66","232448","5001  >  45814 [ACK] Seq=1 Ack=220097 Win=232448 Len=0 TSval=2324609276 TSecr=791236745"
"196","1.845425","192.168.2.2","192.168.1.2","TCP","66","235008","5001  >  45814 [ACK] Seq=1 Ack=221545 Win=235008 Len=0 TSval=2324609300 TSecr=791236769"
"198","1.857212","192.168.2.2","192.168.1.2","TCP","66","241152","5001  >  45814 [ACK] Seq=1 Ack=224441 Win=241152 Len=0 TSval=2324609312 TSecr=791236781"
"200","1.881717","192.168.2.2","192.168.1.2","TCP","66","246784","5001  >  45814 [ACK] Seq=1 Ack=227337 Win=246784 Len=0 TSval=2324609336 TSecr=791236805"
"202","1.905606","192.168.2.2","192.168.1.2","TCP","66","252416","5001  >  45814 [ACK] Seq=1 Ack=230233 Win=252416 Len=0 TSval=2324609360 TSecr=791236830"
"204","1.930677","192.168.2.2","192.168.1.2","TCP","66","258560","5001  >  45814 [ACK] Seq=1 Ack=233129 Win=258560 Len=0 TSval=2324609385 TSecr=791236854"
"206","1.954048","192.168.2.2","192.168.1.2","TCP","66","264192","5001  >  45814 [ACK] Seq=1 Ack=236025 Win=264192 Len=0 TSval=2324609409 TSecr=791236878"
"209","1.978254","192.168.2.2","192.168.1.2","TCP","66","269824","5001  >  45814 [ACK] Seq=1 Ack=238921 Win=269824 Len=0 TSval=2324609433 TSecr=791236902"
"211","2.002490","192.168.2.2","192.168.1.2","TCP","66","275968","5001  >  45814 [ACK] Seq=1 Ack=241817 Win=275968 Len=0 TSval=2324609457 TSecr=791236927"
"214","2.026730","192.168.2.2","192.168.1.2","TCP","66","281600","5001  >  45814 [ACK] Seq=1 Ack=244713 Win=281600 Len=0 TSval=2324609481 TSecr=791236950"
"216","2.051226","192.168.2.2","192.168.1.2","TCP","66","284160","5001  >  45814 [ACK] Seq=1 Ack=246161 Win=284160 Len=0 TSval=2324609506 TSecr=791236963"
"218","2.063054","192.168.2.2","192.168.1.2","TCP","66","290304","5001  >  45814 [ACK] Seq=1 Ack=249057 Win=290304 Len=0 TSval=2324609518 TSecr=791236987"
"220","2.087512","192.168.2.2","192.168.1.2","TCP","66","295936","5001  >  45814 [ACK] Seq=1 Ack=251953 Win=295936 Len=0 TSval=2324609542 TSecr=791237011"
"222","2.111493","192.168.2.2","192.168.1.2","TCP","66","301568","5001  >  45814 [ACK] Seq=1 Ack=254849 Win=301568 Len=0 TSval=2324609566 TSecr=791237035"
"224","2.135712","192.168.2.2","192.168.1.2","TCP","66","307712","5001  >  45814 [ACK] Seq=1 Ack=257745 Win=307712 Len=0 TSval=2324609590 TSecr=791237060"
"226","2.160016","192.168.2.2","192.168.1.2","TCP","66","310272","5001  >  45814 [ACK] Seq=1 Ack=259193 Win=310272 Len=0 TSval=2324609615 TSecr=791237078"
"228","2.172757","192.168.2.2","192.168.1.2","TCP","66","316416","5001  >  45814 [ACK] Seq=1 Ack=262089 Win=316416 Len=0 TSval=2324609627 TSecr=791237084"
"230","2.196318","192.168.2.2","192.168.1.2","TCP","66","322048","5001  >  45814 [ACK] Seq=1 Ack=264985 Win=322048 Len=0 TSval=2324609651 TSecr=791237108"
"232","2.221775","192.168.2.2","192.168.1.2","TCP","66","327680","5001  >  45814 [ACK] Seq=1 Ack=267881 Win=327680 Len=0 TSval=2324609676 TSecr=791237144"
"234","2.246729","192.168.2.2","192.168.1.2","TCP","66","333824","5001  >  45814 [ACK] Seq=1 Ack=270777 Win=333824 Len=0 TSval=2324609701 TSecr=791237169"
"236","2.270981","192.168.2.2","192.168.1.2","TCP","66","339456","5001  >  45814 [ACK] Seq=1 Ack=273673 Win=339456 Len=0 TSval=2324609726 TSecr=791237169"
"239","2.295243","192.168.2.2","192.168.1.2","TCP","66","345088","5001  >  45814 [ACK] Seq=1 Ack=276569 Win=345088 Len=0 TSval=2324609750 TSecr=791237205"
"241","2.319725","192.168.2.2","192.168.1.2","TCP","66","351232","5001  >  45814 [ACK] Seq=1 Ack=279465 Win=351232 Len=0 TSval=2324609774 TSecr=791237229"
"243","2.344293","192.168.2.2","192.168.1.2","TCP","66","356864","5001  >  45814 [ACK] Seq=1 Ack=282361 Win=356864 Len=0 TSval=2324609799 TSecr=791237254"
"245","2.367858","192.168.2.2","192.168.1.2","TCP","66","360448","5001  >  45814 [ACK] Seq=1 Ack=285257 Win=360448 Len=0 TSval=2324609822 TSecr=791237290"
"248","2.393455","192.168.2.2","192.168.1.2","TCP","66","360448","5001  >  45814 [ACK] Seq=1 Ack=288153 Win=360448 Len=0 TSval=2324609848 TSecr=791237290"
"250","2.416862","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=289601 Win=360960 Len=0 TSval=2324609871 TSecr=791237315"
"252","2.428422","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=292497 Win=360960 Len=0 TSval=2324609883 TSecr=791237327"
"254","2.452677","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=295393 Win=360960 Len=0 TSval=2324609907 TSecr=791237351"
"256","2.477537","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=298289 Win=360960 Len=0 TSval=2324609932 TSecr=791237375"
"258","2.502094","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=301185 Win=360960 Len=0 TSval=2324609957 TSecr=791237399"
"260","2.525568","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=304081 Win=360960 Len=0 TSval=2324609980 TSecr=791237424"
"262","2.550083","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=306977 Win=360960 Len=0 TSval=2324610004 TSecr=791237448"
"264","2.574613","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=309873 Win=360960 Len=0 TSval=2324610029 TSecr=791237472"
"266","2.610859","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=314217 Win=360960 Len=0 TSval=2324610065 TSecr=791237484"
"269","2.634372","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=317113 Win=360960 Len=0 TSval=2324610089 TSecr=791237532"
"271","2.658868","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=320009 Win=360960 Len=0 TSval=2324610113 TSecr=791237557"
"273","2.683380","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=322905 Win=360960 Len=0 TSval=2324610138 TSecr=791237581"
"275","2.719109","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=327249 Win=360960 Len=0 TSval=2324610173 TSecr=791237590"
"278","2.743368","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=330145 Win=360960 Len=0 TSval=2324610198 TSecr=791237629"
"281","2.768314","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=333041 Win=360960 Len=0 TSval=2324610223 TSecr=791237653"
"283","2.792584","192.168.2.2","192.168.1.2","TCP","66","360960","5001  >  45814 [ACK] Seq=1 Ack=335937 Win=360960 Len=0 TSval=2324610247 TSecr=791237678"
