"No.","Time","Source","Destination","Protocol","Length","Window size scaling factor","Calculated window size","Info"
"162","0.117532","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1062833 Win=283648 Len=0 TSval=3824096439 TSecr=3459206132"
"164","0.119574","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1071521 Win=283648 Len=0 TSval=3824096441 TSecr=3459206135"
"166","0.120683","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1090345 Win=283648 Len=0 TSval=3824096442 TSecr=3459206135"
"168","0.122442","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1109169 Win=283648 Len=0 TSval=3824096444 TSecr=3459206135"
"170","0.124386","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1127993 Win=283648 Len=0 TSval=3824096446 TSecr=3459206138"
"172","0.126333","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1136681 Win=283648 Len=0 TSval=3824096448 TSecr=3459206142"
"174","0.127326","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1155505 Win=283648 Len=0 TSval=3824096449 TSecr=3459206142"
"176","0.129315","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1174329 Win=283648 Len=0 TSval=3824096451 TSecr=3459206142"
"178","0.131236","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1191705 Win=283648 Len=0 TSval=3824096453 TSecr=3459206145"
"180","0.132586","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1201841 Win=283648 Len=0 TSval=3824096454 TSecr=3459206147"
"181","0.133424","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1220665 Win=283648 Len=0 TSval=3824096455 TSecr=3459206147"
"183","0.135215","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1239489 Win=283648 Len=0 TSval=3824096456 TSecr=3459206149"
"185","0.136644","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1258313 Win=283648 Len=0 TSval=3824096458 TSecr=3459206152"
"188","0.138218","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1267001 Win=283648 Len=0 TSval=3824096459 TSecr=3459206155"
"189","0.138943","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1285825 Win=283648 Len=0 TSval=3824096460 TSecr=3459206155"
"191","0.140519","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1304649 Win=283648 Len=0 TSval=3824096462 TSecr=3459206155"
"193","0.142096","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1323473 Win=283648 Len=0 TSval=3824096463 TSecr=3459206157"
"196","0.143666","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1332161 Win=283648 Len=0 TSval=3824096465 TSecr=3459206158"
"197","0.144395","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1352433 Win=283648 Len=0 TSval=3824096466 TSecr=3459206158"
"199","0.146098","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1372705 Win=283648 Len=0 TSval=3824096467 TSecr=3459206160"
"201","0.147892","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1392977 Win=283648 Len=0 TSval=3824096469 TSecr=3459206162"
"204","0.149486","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1397321 Win=283648 Len=0 TSval=3824096471 TSecr=3459206166"
"205","0.149842","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1417593 Win=283648 Len=0 TSval=3824096471 TSecr=3459206166"
"207","0.151808","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1437865 Win=283648 Len=0 TSval=3824096473 TSecr=3459206166"
"209","0.153391","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1458137 Win=283648 Len=0 TSval=3824096475 TSecr=3459206168"
"212","0.155724","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1462481 Win=283648 Len=0 TSval=3824096477 TSecr=3459206169"
"214","0.156007","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1484201 Win=283648 Len=0 TSval=3824096477 TSecr=3459206169"
"216","0.157788","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1505921 Win=283648 Len=0 TSval=3824096479 TSecr=3459206171"
"218","0.159746","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1527641 Win=283648 Len=0 TSval=3824096481 TSecr=3459206173"
"220","0.161619","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1549361 Win=283648 Len=0 TSval=3824096483 TSecr=3459206175"
"222","0.163324","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1571081 Win=283648 Len=0 TSval=3824096485 TSecr=3459206177"
"225","0.165132","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1591353 Win=283648 Len=0 TSval=3824096486 TSecr=3459206179"
"227","0.166947","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1613073 Win=283648 Len=0 TSval=3824096488 TSecr=3459206183"
"229","0.168655","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1633345 Win=283648 Len=0 TSval=3824096490 TSecr=3459206183"
"231","0.170440","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1653617 Win=283648 Len=0 TSval=3824096492 TSecr=3459206184"
"233","0.172383","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1657961 Win=283648 Len=0 TSval=3824096494 TSecr=3459206186"
"235","0.172633","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1679681 Win=283648 Len=0 TSval=3824096494 TSecr=3459206186"
"237","0.174446","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1701401 Win=283648 Len=0 TSval=3824096496 TSecr=3459206188"
"239","0.176308","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1723121 Win=283648 Len=0 TSval=3824096498 TSecr=3459206190"
"241","0.178269","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1744841 Win=283648 Len=0 TSval=3824096500 TSecr=3459206192"
"243","0.180237","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1766561 Win=283648 Len=0 TSval=3824096502 TSecr=3459206194"
"245","0.181934","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1788281 Win=283648 Len=0 TSval=3824096503 TSecr=3459206196"
"247","0.183752","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1810001 Win=283648 Len=0 TSval=3824096505 TSecr=3459206198"
"249","0.185574","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1831721 Win=283648 Len=0 TSval=3824096507 TSecr=3459206200"
"251","0.187388","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1853441 Win=283648 Len=0 TSval=3824096509 TSecr=3459206201"
"253","0.189201","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1875161 Win=283648 Len=0 TSval=3824096510 TSecr=3459206203"
"255","0.191021","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1896881 Win=283648 Len=0 TSval=3824096512 TSecr=3459206205"
"257","0.193064","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1918601 Win=283648 Len=0 TSval=3824096514 TSecr=3459206207"
"259","0.194921","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1941769 Win=283648 Len=0 TSval=3824096516 TSecr=3459206207"
"261","0.196877","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1964937 Win=283648 Len=0 TSval=3824096518 TSecr=3459206208"
