No.,,Time,Source,Destination,Length,Window size scaling factor,Calculated window size
385,0.377658924,6.077658924,192.168.2.2,192.168.1.2,66,512,631296
387,0.379475944,6.079475944,192.168.2.2,192.168.1.2,66,512,631296
389,0.381291071,6.081291071,192.168.2.2,192.168.1.2,66,512,631296
391,0.382501079,6.082501079,192.168.2.2,192.168.1.2,66,512,631296
393,0.383106192,6.083106192,192.168.2.2,192.168.1.2,66,512,631296
395,0.384321894,6.084321894,192.168.2.2,192.168.1.2,66,512,631296
397,0.38492586,6.08492586,192.168.2.2,192.168.1.2,66,512,631296
399,0.386136849,6.086136849,192.168.2.2,192.168.1.2,66,512,631296
401,0.387350124,6.087350124,192.168.2.2,192.168.1.2,66,512,631296
403,0.388623733,6.088623733,192.168.2.2,192.168.1.2,66,512,631296
405,0.389880339,6.089880339,192.168.2.2,192.168.1.2,66,512,631296
407,0.390418537,6.090418537,192.168.2.2,192.168.1.2,66,512,631296
409,0.391861997,6.091861997,192.168.2.2,192.168.1.2,66,512,631296
411,0.39330598,6.09330598,192.168.2.2,192.168.1.2,66,512,631296
413,0.394768916,6.094768916,192.168.2.2,192.168.1.2,66,512,631296
415,0.395830907,6.095830907,192.168.2.2,192.168.1.2,66,512,631296
417,0.397280574,6.097280574,192.168.2.2,192.168.1.2,66,512,631296
419,0.398732276,6.098732276,192.168.2.2,192.168.1.2,66,512,631296
421,0.400183911,6.100183911,192.168.2.2,192.168.1.2,66,512,631296
423,0.401277198,6.101277198,192.168.2.2,192.168.1.2,66,512,631296
425,0.402727942,6.102727942,192.168.2.2,192.168.1.2,66,512,631296
427,0.4041843,6.1041843,192.168.2.2,192.168.1.2,66,512,631296
429,0.405637025,6.105637025,192.168.2.2,192.168.1.2,66,512,631296
431,0.406764288,6.106764288,192.168.2.2,192.168.1.2,66,512,631296
433,0.408198505,6.108198505,192.168.2.2,192.168.1.2,66,512,631296
435,0.40963308,6.10963308,192.168.2.2,192.168.1.2,66,512,631296
437,0.411090638,6.111090638,192.168.2.2,192.168.1.2,66,512,631296
439,0.41218018,6.11218018,192.168.2.2,192.168.1.2,66,512,631296
441,0.413703651,6.113703651,192.168.2.2,192.168.1.2,66,512,631296
443,0.415121329,6.115121329,192.168.2.2,192.168.1.2,66,512,631296
445,0.416549094,6.116549094,192.168.2.2,192.168.1.2,66,512,631296
447,0.417628487,6.117628487,192.168.2.2,192.168.1.2,66,512,631296
449,0.419078334,6.119078334,192.168.2.2,192.168.1.2,66,512,631296
451,0.420534047,6.120534047,192.168.2.2,192.168.1.2,66,512,631296
453,0.421136618,6.121136618,192.168.2.2,192.168.1.2,66,512,631296
455,0.422628243,6.122628243,192.168.2.2,192.168.1.2,66,512,631296
457,0.423102549,6.123102549,192.168.2.2,192.168.1.2,66,512,631296
459,0.424556224,6.124556224,192.168.2.2,192.168.1.2,66,512,631296
461,0.425983105,6.125983105,192.168.2.2,192.168.1.2,66,512,631296
463,0.427436288,6.127436288,192.168.2.2,192.168.1.2,66,512,631296
465,0.428525915,6.128525915,192.168.2.2,192.168.1.2,66,512,631296
467,0.429980438,6.129980438,192.168.2.2,192.168.1.2,66,512,631296
469,0.431316502,6.131316502,192.168.2.2,192.168.1.2,66,512,631296
471,0.432647001,6.132647001,192.168.2.2,192.168.1.2,66,512,631296
473,0.433746161,6.133746161,192.168.2.2,192.168.1.2,66,512,631296
475,0.433979925,6.133979925,192.168.2.2,192.168.1.2,66,512,631296
477,0.435071374,6.135071374,192.168.2.2,192.168.1.2,66,512,631296
479,0.436156825,6.136156825,192.168.2.2,192.168.1.2,66,512,631296
481,0.437248243,6.137248243,192.168.2.2,192.168.1.2,66,512,631296
483,0.438875895,6.138875895,192.168.2.2,192.168.1.2,66,512,631296
485,0.439446068,6.139446068,192.168.2.2,192.168.1.2,66,512,631296
487,0.44149484,6.14149484,192.168.2.2,192.168.1.2,66,512,631296
489,0.443546178,6.143546178,192.168.2.2,192.168.1.2,66,512,631296
491,0.44487772,6.14487772,192.168.2.2,192.168.1.2,66,512,631296
493,0.446940993,6.146940993,192.168.2.2,192.168.1.2,66,512,631296
495,0.449021245,6.149021245,192.168.2.2,192.168.1.2,66,512,631296
497,0.450329692,6.150329692,192.168.2.2,192.168.1.2,66,512,631296
499,0.45239303,6.15239303,192.168.2.2,192.168.1.2,66,512,631296
501,0.454448515,6.154448515,192.168.2.2,192.168.1.2,66,512,631296
503,0.455793629,6.155793629,192.168.2.2,192.168.1.2,66,512,631296
505,0.457861246,6.157861246,192.168.2.2,192.168.1.2,66,512,631296
507,0.459932469,6.159932469,192.168.2.2,192.168.1.2,66,512,631296
509,0.461245133,6.161245133,192.168.2.2,192.168.1.2,66,512,631296
511,0.463387418,6.163387418,192.168.2.2,192.168.1.2,66,512,631296
513,0.46538516,6.16538516,192.168.2.2,192.168.1.2,66,512,631296
515,0.466694084,6.166694084,192.168.2.2,192.168.1.2,66,512,631296
517,0.468737736,6.168737736,192.168.2.2,192.168.1.2,66,512,631296
519,0.470799295,6.170799295,192.168.2.2,192.168.1.2,66,512,631296
521,0.471887902,6.171887902,192.168.2.2,192.168.1.2,66,512,631296
523,0.472139769,6.172139769,192.168.2.2,192.168.1.2,66,512,631296
525,0.474209644,6.174209644,192.168.2.2,192.168.1.2,66,512,631296
527,0.476260486,6.176260486,192.168.2.2,192.168.1.2,66,512,631296
529,0.477589359,6.177589359,192.168.2.2,192.168.1.2,66,512,631296
531,0.479648949,6.179648949,192.168.2.2,192.168.1.2,66,512,631296
533,0.481706183,6.181706183,192.168.2.2,192.168.1.2,66,512,631296
535,0.483043674,6.183043674,192.168.2.2,192.168.1.2,66,512,631296
537,0.48512285,6.18512285,192.168.2.2,192.168.1.2,66,512,631296
539,0.48717406,6.18717406,192.168.2.2,192.168.1.2,66,512,631296
541,0.488312083,6.188312083,192.168.2.2,192.168.1.2,66,512,631296
543,0.488542753,6.188542753,192.168.2.2,192.168.1.2,66,512,631296
545,0.490589668,6.190589668,192.168.2.2,192.168.1.2,66,512,631296
547,0.492615495,6.192615495,192.168.2.2,192.168.1.2,66,512,631296
550,0.494049795,6.194049795,192.168.2.2,192.168.1.2,66,512,631296
551,0.494285003,6.194285003,192.168.2.2,192.168.1.2,66,512,631296
553,0.495253799,6.195253799,192.168.2.2,192.168.1.2,66,512,631296
555,0.496223546,6.196223546,192.168.2.2,192.168.1.2,66,512,631296
557,0.497194927,6.197194927,192.168.2.2,192.168.1.2,66,512,631296
559,0.498536539,6.198536539,192.168.2.2,192.168.1.2,66,512,631296
561,0.499742583,6.199742583,192.168.2.2,192.168.1.2,66,512,631296
563,0.501445806,6.201445806,192.168.2.2,192.168.1.2,66,512,631296
565,0.503132937,6.203132937,192.168.2.2,192.168.1.2,66,512,631296
567,0.504832418,6.204832418,192.168.2.2,192.168.1.2,66,512,631296
569,0.505190569,6.205190569,192.168.2.2,192.168.1.2,66,512,631296
571,0.506897345,6.206897345,192.168.2.2,192.168.1.2,66,512,631296
573,0.508584048,6.208584048,192.168.2.2,192.168.1.2,66,512,631296
576,0.510331122,6.210331122,192.168.2.2,192.168.1.2,66,512,631296
577,0.510650178,6.210650178,192.168.2.2,192.168.1.2,66,512,631296
579,0.512353012,6.212353012,192.168.2.2,192.168.1.2,66,512,631296
581,0.514070319,6.214070319,192.168.2.2,192.168.1.2,66,512,631296
583,0.515741632,6.215741632,192.168.2.2,192.168.1.2,66,512,631296
585,0.516088256,6.216088256,192.168.2.2,192.168.1.2,66,512,631296
587,0.517803338,6.217803338,192.168.2.2,192.168.1.2,66,512,631296
589,0.519474935,6.219474935,192.168.2.2,192.168.1.2,66,512,631296
591,0.521169704,6.221169704,192.168.2.2,192.168.1.2,66,512,631296
593,0.521527656,6.221527656,192.168.2.2,192.168.1.2,66,512,631296
595,0.523248452,6.223248452,192.168.2.2,192.168.1.2,66,512,631296
597,0.524925139,6.224925139,192.168.2.2,192.168.1.2,66,512,631296
599,0.526622877,6.226622877,192.168.2.2,192.168.1.2,66,512,631296
601,0.526978598,6.226978598,192.168.2.2,192.168.1.2,66,512,631296
603,0.528674433,6.228674433,192.168.2.2,192.168.1.2,66,512,631296
605,0.530368775,6.230368775,192.168.2.2,192.168.1.2,66,512,631296
607,0.532071889,6.232071889,192.168.2.2,192.168.1.2,66,512,631296
609,0.532428705,6.232428705,192.168.2.2,192.168.1.2,66,512,631296
611,0.534124333,6.234124333,192.168.2.2,192.168.1.2,66,512,631296
613,0.5358204,6.2358204,192.168.2.2,192.168.1.2,66,512,631296
615,0.537515789,6.237515789,192.168.2.2,192.168.1.2,66,512,631296
617,0.537879922,6.237879922,192.168.2.2,192.168.1.2,66,512,631296
619,0.539675817,6.239675817,192.168.2.2,192.168.1.2,66,512,631296
621,0.541281643,6.241281643,192.168.2.2,192.168.1.2,66,512,631296
623,0.542987416,6.242987416,192.168.2.2,192.168.1.2,66,512,631296
625,0.543335906,6.243335906,192.168.2.2,192.168.1.2,66,512,631296
627,0.545027248,6.245027248,192.168.2.2,192.168.1.2,66,512,631296
629,0.546720016,6.246720016,192.168.2.2,192.168.1.2,66,512,631296
631,0.54843167,6.24843167,192.168.2.2,192.168.1.2,66,512,631296
633,0.548789433,6.248789433,192.168.2.2,192.168.1.2,66,512,631296
635,0.550492732,6.250492732,192.168.2.2,192.168.1.2,66,512,631296
637,0.552173242,6.252173242,192.168.2.2,192.168.1.2,66,512,631296
639,0.553868955,6.253868955,192.168.2.2,192.168.1.2,66,512,631296
641,0.554229949,6.254229949,192.168.2.2,192.168.1.2,66,512,631296
643,0.555927554,6.255927554,192.168.2.2,192.168.1.2,66,512,631296
645,0.557621169,6.257621169,192.168.2.2,192.168.1.2,66,512,631296
647,0.559316634,6.259316634,192.168.2.2,192.168.1.2,66,512,631296
649,0.559680174,6.259680174,192.168.2.2,192.168.1.2,66,512,631296
651,0.561375811,6.261375811,192.168.2.2,192.168.1.2,66,512,631296
653,0.563112492,6.263112492,192.168.2.2,192.168.1.2,66,512,631296
655,0.564780933,6.264780933,192.168.2.2,192.168.1.2,66,512,631296
657,0.56513878,6.26513878,192.168.2.2,192.168.1.2,66,512,631296
659,0.566827915,6.266827915,192.168.2.2,192.168.1.2,66,512,631296
661,0.568522217,6.268522217,192.168.2.2,192.168.1.2,66,512,631296
663,0.570219024,6.270219024,192.168.2.2,192.168.1.2,66,512,631296
665,0.570581507,6.270581507,192.168.2.2,192.168.1.2,66,512,631296
667,0.572287284,6.272287284,192.168.2.2,192.168.1.2,66,512,631296
669,0.573979584,6.273979584,192.168.2.2,192.168.1.2,66,512,631296
671,0.575670401,6.275670401,192.168.2.2,192.168.1.2,66,512,631296
673,0.576033322,6.276033322,192.168.2.2,192.168.1.2,66,512,631296
675,0.577727706,6.277727706,192.168.2.2,192.168.1.2,66,512,631296
677,0.579424799,6.279424799,192.168.2.2,192.168.1.2,66,512,631296
679,0.581141191,6.281141191,192.168.2.2,192.168.1.2,66,512,631296
681,0.581494017,6.281494017,192.168.2.2,192.168.1.2,66,512,631296
683,0.583183964,6.283183964,192.168.2.2,192.168.1.2,66,512,631296
685,0.584873019,6.284873019,192.168.2.2,192.168.1.2,66,512,631296
687,0.586569086,6.286569086,192.168.2.2,192.168.1.2,66,512,631296
689,0.58693154,6.28693154,192.168.2.2,192.168.1.2,66,512,631296
691,0.58866465,6.28866465,192.168.2.2,192.168.1.2,66,512,631296
693,0.590332065,6.290332065,192.168.2.2,192.168.1.2,66,512,631296
695,0.592021603,6.292021603,192.168.2.2,192.168.1.2,66,512,631296
697,0.592382272,6.292382272,192.168.2.2,192.168.1.2,66,512,631296
699,0.594079354,6.294079354,192.168.2.2,192.168.1.2,66,512,631296
701,0.595776152,6.295776152,192.168.2.2,192.168.1.2,66,512,631296
703,0.597491745,6.297491745,192.168.2.2,192.168.1.2,66,512,631296
705,0.597852116,6.297852116,192.168.2.2,192.168.1.2,66,512,631296
707,0.599542177,6.299542177,192.168.2.2,192.168.1.2,66,512,631296
709,0.601225326,6.301225326,192.168.2.2,192.168.1.2,66,512,631296
711,0.60291991,6.30291991,192.168.2.2,192.168.1.2,66,512,631296
713,0.603285578,6.303285578,192.168.2.2,192.168.1.2,66,512,631296
715,0.604979163,6.304979163,192.168.2.2,192.168.1.2,66,512,631296
717,0.606674868,6.306674868,192.168.2.2,192.168.1.2,66,512,631296
719,0.608370111,6.308370111,192.168.2.2,192.168.1.2,66,512,631296
721,0.608736366,6.308736366,192.168.2.2,192.168.1.2,66,512,631296
723,0.610429425,6.310429425,192.168.2.2,192.168.1.2,66,512,631296
725,0.612125206,6.312125206,192.168.2.2,192.168.1.2,66,512,631296
728,0.613877815,6.313877815,192.168.2.2,192.168.1.2,66,512,631296
729,0.614197009,6.314197009,192.168.2.2,192.168.1.2,66,512,631296
731,0.615883336,6.315883336,192.168.2.2,192.168.1.2,66,512,631296
733,0.61757998,6.31757998,192.168.2.2,192.168.1.2,66,512,631296
735,0.619272434,6.319272434,192.168.2.2,192.168.1.2,66,512,631296
737,0.619634752,6.319634752,192.168.2.2,192.168.1.2,66,512,631296
739,0.621330353,6.321330353,192.168.2.2,192.168.1.2,66,512,631296
741,0.623041789,6.323041789,192.168.2.2,192.168.1.2,66,512,631296
743,0.62473633,6.32473633,192.168.2.2,192.168.1.2,66,512,631296
745,0.625093368,6.325093368,192.168.2.2,192.168.1.2,66,512,631296
747,0.6267932,6.3267932,192.168.2.2,192.168.1.2,66,512,631296
749,0.628482707,6.328482707,192.168.2.2,192.168.1.2,66,512,631296
751,0.630183861,6.330183861,192.168.2.2,192.168.1.2,66,512,631296
753,0.630543441,6.330543441,192.168.2.2,192.168.1.2,66,512,631296
755,0.632245476,6.332245476,192.168.2.2,192.168.1.2,66,512,631296
757,0.633943967,6.333943967,192.168.2.2,192.168.1.2,66,512,631296
759,0.635642238,6.335642238,192.168.2.2,192.168.1.2,66,512,631296
