"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"576","360.206344135","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"578","360.218182504","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"580","360.230236653","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"582","360.242609250","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"584","360.254476822","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"586","360.267110437","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"588","360.278878152","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"590","360.290776551","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"592","360.303353269","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"594","360.315076802","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"596","360.327136493","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"598","360.339593257","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"600","360.351360702","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"602","360.363457272","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"604","360.375834777","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"606","360.387714122","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"608","360.400379705","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"610","360.412092539","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"612","360.424041202","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"614","360.436130418","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"616","360.449180181","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"618","360.460604745","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"621","360.478573313","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"623","360.491031121","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"625","360.502806180","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"627","360.515449853","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"629","360.527202621","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"631","360.539105528","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"633","360.551748108","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"635","360.563453247","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"637","360.576191228","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"639","360.587927865","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"641","360.599659313","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"643","360.611766010","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"645","360.624161451","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"647","360.636005118","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"649","360.648707543","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"651","360.660536149","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"653","360.672338380","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"655","360.684903266","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"657","360.696681290","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"659","360.708668256","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"661","360.721127224","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"663","360.732898747","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"666","360.754432142","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"668","360.763320484","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"670","360.775277203","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"672","360.787765947","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"674","360.799501962","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"676","360.812219634","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"678","360.824014232","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"680","360.835827129","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"682","360.848545302","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"684","360.860227317","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"686","360.872167885","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"688","360.884734414","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"690","360.896575716","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"692","360.908502500","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"694","360.921028622","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"696","360.932735285","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"698","360.945506156","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"700","360.957210273","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"702","360.969959012","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"704","360.981715927","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"706","360.993467382","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"708","361.005391871","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"711","361.023874312","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"713","361.036433437","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
