"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"341","6.872627295","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"343","6.884748560","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"345","6.896892515","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"347","6.908922158","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"349","6.921021601","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"351","6.933261175","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"353","6.945389943","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"356","6.963688270","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"358","6.975573380","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"360","6.987672828","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"362","6.999896313","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"364","7.011861482","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"366","7.024023799","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"368","7.036385584","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"370","7.048841422","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"372","7.060603861","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"374","7.072398020","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"376","7.084525292","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"378","7.096854664","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"380","7.109625912","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"382","7.120900856","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"384","7.133115055","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"386","7.145853263","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"388","7.157242122","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"390","7.169400733","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"392","7.182193464","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"394","7.193547520","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"396","7.205701019","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"398","7.218648559","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"401","7.236041461","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"403","7.248034344","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"405","7.260467139","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"407","7.272735515","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"409","7.284373933","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"411","7.296789295","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"413","7.308670408","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"415","7.321211626","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"417","7.332927768","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"419","7.344990484","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"421","7.357049856","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"423","7.369207867","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"425","7.381274506","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"427","7.393823218","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"429","7.405526957","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"431","7.417704237","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"433","7.429754162","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"435","7.441915839","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"437","7.454003839","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"439","7.466097999","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"441","7.478195364","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"443","7.490316548","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"446","7.508777734","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"448","7.520693067","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"450","7.532696870","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"452","7.545111140","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"454","7.556892606","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"456","7.569595687","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"458","7.581346805","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"460","7.593248712","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"462","7.605807919","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"464","7.617721394","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"466","7.630266707","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"468","7.642021712","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"470","7.653798929","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"472","7.666551464","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"474","7.678375465","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"476","7.691029845","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"478","7.702875944","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"480","7.714466379","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"482","7.726545814","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"484","7.739092742","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"486","7.750869488","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"488","7.762950807","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"491","7.781195897","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"493","7.793989838","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"495","7.805701103","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"497","7.817354257","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"499","7.829470733","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"501","7.841886611","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"503","7.853696131","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"505","7.866407969","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"507","7.878132397","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"509","7.890013749","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"511","7.902116345","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"513","7.914409569","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"515","7.927126460","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"517","7.938894016","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"519","7.950645013","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"521","7.963391156","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"523","7.974775076","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"525","7.986911456","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"527","7.999597807","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"529","8.011355797","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"531","8.023218905","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"533","8.035830085","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"536","8.054101341","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"538","8.065826042","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"540","8.077745526","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"542","8.089853523","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"544","8.102012646","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"546","8.114686080","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"548","8.126450435","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"550","8.138309245","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"552","8.151026012","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"554","8.162745701","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"556","8.175447471","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"558","8.187205271","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"560","8.199017593","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"562","8.211667697","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"564","8.223175275","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"566","8.235335761","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"568","8.249322559","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"570","8.259453771","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"572","8.271673749","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"574","8.283635311","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"576","8.295945507","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"578","8.308649752","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"581","8.331648914","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"583","8.338175819","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"585","8.350862550","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"587","8.362560318","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"589","8.374501342","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"591","8.386595800","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"593","8.398839664","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"595","8.411525112","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"597","8.423301467","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"599","8.435087686","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"601","8.447199607","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"603","8.459622431","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"605","8.472343088","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"607","8.483481077","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"609","8.495764362","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"611","8.507719440","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"613","8.520290938","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"615","8.531977445","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"617","8.544796691","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"619","8.556543002","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"621","8.568292347","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"623","8.580374706","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"626","8.598631569","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"628","8.610703228","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"630","8.622771129","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"632","8.634940280","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"634","8.647223723","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"636","8.659899155","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"638","8.671735377","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"640","8.683376736","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"642","8.696160559","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"644","8.707855830","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"646","8.719673194","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"648","8.732340590","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"650","8.744553323","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"652","8.756866788","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"654","8.768118236","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"656","8.780356757","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"658","8.793099634","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"660","8.804862581","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"662","8.816577504","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"664","8.829370795","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"666","8.840801241","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"668","8.852914756","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"671","8.871487804","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"673","8.883156107","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"675","8.895297436","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"677","8.907691870","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"679","8.919575486","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"681","8.932189300","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"683","8.943922765","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"685","8.955862386","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"687","8.968053218","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"689","8.980218092","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"691","8.992996916","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"693","9.004678093","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"695","9.016410686","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"697","9.028533711","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"699","9.040923215","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"701","9.053657135","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"703","9.065434129","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"705","9.077192071","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"707","9.089106976","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"709","9.101678967","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"711","9.113427165","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"713","9.125413106","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"716","9.143748433","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"718","9.156490348","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"720","9.168298783","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"722","9.180103895","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"724","9.192874531","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"726","9.204581296","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"728","9.216266580","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"730","9.228383764","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"732","9.240773078","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"734","9.254426011","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"736","9.265054855","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"738","9.276792327","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"740","9.289244609","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"742","9.301037515","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"744","9.313856334","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"746","9.325718420","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"748","9.337387925","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
