"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"402","2.496000329","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"404","2.508134264","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"407","2.526227811","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"409","2.538373749","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"411","2.550935402","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"413","2.562678318","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"415","2.574721414","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"417","2.587628738","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"419","2.599609427","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"421","2.611157957","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"423","2.623830923","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"426","2.641498789","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"428","2.654248416","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"430","2.666028238","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"432","2.677706742","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"434","2.690432326","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"436","2.701972148","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"438","2.713979195","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"440","2.726837291","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"442","2.738255572","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"445","2.756366221","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"447","2.768564336","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"449","2.780577124","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"451","2.792711220","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"453","2.804809452","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"455","2.817827441","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"457","2.829062281","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"459","2.841337349","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"461","2.853343286","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"464","2.871660833","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"466","2.883534751","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"468","2.905338312","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"470","2.910908662","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"472","2.923367196","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"474","2.935343628","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"476","2.947241351","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"478","2.959812859","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"480","2.971545759","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"483","2.990156486","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"485","3.001914867","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"487","3.013865379","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"489","3.026441517","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"491","3.038166692","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"493","3.050903966","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"495","3.062641150","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"497","3.074424789","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"499","3.087151585","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"502","3.104834282","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"504","3.117454308","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"506","3.129294113","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"508","3.141066360","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"510","3.153756438","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"512","3.165272945","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"514","3.177366375","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"516","3.189571424","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"518","3.202326273","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"521","3.219926054","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"523","3.232697232","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"525","3.244435515","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"527","3.256181013","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"529","3.268308027","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"531","3.280697802","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"533","3.292460912","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"535","3.305160488","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"537","3.316924350","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"540","3.335539845","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"542","3.347368438","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"544","3.359108172","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"546","3.371211111","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"548","3.383290013","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"550","3.395430872","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"552","3.408023487","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"554","3.419782981","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"556","3.431746015","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"559","3.450157017","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"561","3.462868433","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"563","3.474619733","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"565","3.486278057","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"567","3.499108668","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"569","3.510834479","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"571","3.522661268","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"573","3.535376426","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"575","3.547199415","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"578","3.565776959","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"580","3.577091098","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"582","3.589303694","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"584","3.601324367","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"586","3.613751778","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"588","3.626477733","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"590","3.642425289","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"592","3.649972907","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"594","3.662705111","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"597","3.680378256","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"599","3.692159116","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"601","3.704276550","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"603","3.716559414","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"605","3.733539684","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"607","3.740618584","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"609","3.752758932","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"611","3.765370500","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"613","3.776932766","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"616","3.795128604","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"618","3.807315002","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"620","3.819713082","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"622","3.831634636","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"624","3.843530102","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"626","3.855636548","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"628","3.867786463","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"630","3.880198699","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"632","3.892742474","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"635","3.910184650","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"637","3.922532154","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"639","3.934513132","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"641","3.946566498","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"643","3.958775121","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"645","3.972976264","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"647","3.985526644","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"649","3.995367236","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"651","4.007077155","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"654","4.027217569","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"656","4.037699819","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"658","4.049691227","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"660","4.061840730","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"662","4.073711614","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"664","4.085809482","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"666","4.098107164","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"668","4.109994778","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"670","4.122488625","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"673","4.140276883","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"675","4.152385230","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"677","4.164532260","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"679","4.176636249","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"681","4.188716113","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"683","4.200884366","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"685","4.213099260","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"687","4.225111016","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"689","4.237247295","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"692","4.255472299","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"694","4.267534720","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"696","4.279629813","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"698","4.291993517","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"700","4.303790092","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"702","4.316522132","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"704","4.327998231","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"706","4.340133077","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"708","4.352240543","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"711","4.370431473","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"713","4.383142078","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"715","4.395442326","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"717","4.407162586","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"719","4.418918162","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"721","4.431627095","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"723","4.443400455","192.168.2.2","192.168.1.2","TCP","66","107","54784"
