No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
274,9.697116,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1167089 Win=1013760 Len=0 TSval=2325389190 TSecr=1376427321
276,9.769974,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1171433 Win=1013760 Len=0 TSval=2325389263 TSecr=1376427394
278,9.818967,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1190257 Win=1013760 Len=0 TSval=2325389312 TSecr=1376427430
281,9.964362,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1219217 Win=1013760 Len=0 TSval=2325389457 TSecr=1376427696
285,10.206594,192.168.2.2,192.168.1.2,TCP,66,1008128,5001  >  53148 [ACK] Seq=1 Ack=1232249 Win=1008128 Len=0 TSval=2325389699 TSecr=1376427829
286,10.315542,192.168.2.2,192.168.1.2,TCP,66,1012736,5001  >  53148 [ACK] Seq=1 Ack=1236593 Win=1012736 Len=0 TSval=2325389808 TSecr=1376427939
287,10.352531,192.168.2.2,192.168.1.2,TCP,66,1008640,5001  >  53148 [ACK] Seq=1 Ack=1248177 Win=1008640 Len=0 TSval=2325389845 TSecr=1376427986
288,10.449562,192.168.2.2,192.168.1.2,TCP,66,1006080,5001  >  53148 [ACK] Seq=1 Ack=1265553 Win=1006080 Len=0 TSval=2325389942 TSecr=1376428072
289,10.594152,192.168.2.2,192.168.1.2,TCP,66,1008640,5001  >  53148 [ACK] Seq=1 Ack=1277137 Win=1008640 Len=0 TSval=2325390087 TSecr=1376428217
290,10.691168,192.168.2.2,192.168.1.2,TCP,66,1011712,5001  >  53148 [ACK] Seq=1 Ack=1282929 Win=1011712 Len=0 TSval=2325390184 TSecr=1376428314
291,10.740198,192.168.2.2,192.168.1.2,TCP,66,1008640,5001  >  53148 [ACK] Seq=1 Ack=1294513 Win=1008640 Len=0 TSval=2325390233 TSecr=1376428363
293,10.83719,192.168.2.2,192.168.1.2,TCP,66,1012736,5001  >  53148 [ACK] Seq=1 Ack=1298857 Win=1012736 Len=0 TSval=2325390330 TSecr=1376428459
294,10.873512,192.168.2.2,192.168.1.2,TCP,66,1013248,5001  >  53148 [ACK] Seq=1 Ack=1301753 Win=1013248 Len=0 TSval=2325390366 TSecr=1376428496
295,10.898074,192.168.2.2,192.168.1.2,TCP,66,1005056,5001  >  53148 [ACK] Seq=1 Ack=1320577 Win=1005056 Len=0 TSval=2325390390 TSecr=1376428605
297,11.055679,192.168.2.2,192.168.1.2,TCP,66,1011200,5001  >  53148 [ACK] Seq=1 Ack=1327817 Win=1011200 Len=0 TSval=2325390548 TSecr=1376428678
