No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
291,3.131877,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=377929 Win=58368 Len=0 TSval=2325278197 TSecr=1376317999
293,3.155437,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=380825 Win=58368 Len=0 TSval=2325278221 TSecr=1376317999
296,3.180387,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=383721 Win=58368 Len=0 TSval=2325278246 TSecr=1376318023
298,3.217292,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=388065 Win=58368 Len=0 TSval=2325278282 TSecr=1376318047
301,3.241007,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=390961 Win=58368 Len=0 TSval=2325278306 TSecr=1376318095
303,3.265219,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=393857 Win=58368 Len=0 TSval=2325278330 TSecr=1376318120
305,3.289689,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=396753 Win=58368 Len=0 TSval=2325278355 TSecr=1376318144
307,3.313686,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=399649 Win=58368 Len=0 TSval=2325278379 TSecr=1376318169
309,3.338223,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=402545 Win=58368 Len=0 TSval=2325278403 TSecr=1376318206
311,3.362728,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=405441 Win=58368 Len=0 TSval=2325278428 TSecr=1376318206
313,3.386327,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=408337 Win=58368 Len=0 TSval=2325278451 TSecr=1376318229
315,3.410705,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=411233 Win=58368 Len=0 TSval=2325278476 TSecr=1376318253
317,3.435269,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=414129 Win=58368 Len=0 TSval=2325278500 TSecr=1376318278
319,3.459007,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=417025 Win=58368 Len=0 TSval=2325278524 TSecr=1376318302
321,3.483243,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=419921 Win=58368 Len=0 TSval=2325278548 TSecr=1376318326
323,3.507792,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=422817 Win=58368 Len=0 TSval=2325278573 TSecr=1376318351
326,3.531729,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=425713 Win=58368 Len=0 TSval=2325278597 TSecr=1376318375
328,3.556815,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=428609 Win=58368 Len=0 TSval=2325278622 TSecr=1376318399
330,3.580324,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=431505 Win=58368 Len=0 TSval=2325278645 TSecr=1376318423
