No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
226,11.952892,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1404561 Win=1307 Len=0 TSval=1140261850 TSecr=1525046833
229,11.977673,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1406009 Win=1307 Len=0 TSval=1140261875 TSecr=1525046833
231,11.989289,192.168.2.2,192.168.1.2,TCP,66,1279,5001  >  58166 [ACK] Seq=1 Ack=1466825 Win=1279 Len=0 TSval=1140261887 TSecr=1525047100
236,12.498631,192.168.2.2,192.168.1.2,TCP,66,1275,5001  >  58166 [ACK] Seq=1 Ack=1531985 Win=1275 Len=0 TSval=1140262396 TSecr=1525047101
241,13.043061,192.168.2.2,192.168.1.2,TCP,66,1275,5001  >  58166 [ACK] Seq=1 Ack=1597145 Win=1275 Len=0 TSval=1140262940 TSecr=1525047101
245,13.588947,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1614521 Win=1307 Len=0 TSval=1140263485 TSecr=1525047101
247,13.733564,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1620313 Win=1307 Len=0 TSval=1140263630 TSecr=1525047112
249,13.782519,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1623209 Win=1307 Len=0 TSval=1140263679 TSecr=1525047137
251,13.813316,192.168.2.2,192.168.1.2,TCP,66,1300,5001  >  58166 [ACK] Seq=1 Ack=1662305 Win=1300 Len=0 TSval=1140263710 TSecr=1525047149
253,14.133384,192.168.2.2,192.168.1.2,TCP,66,1275,5001  >  58166 [ACK] Seq=1 Ack=1727465 Win=1275 Len=0 TSval=1140264030 TSecr=1525047149
255,14.67901,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1744841 Win=1307 Len=0 TSval=1140264575 TSecr=1525047150
257,14.824261,192.168.2.2,192.168.1.2,TCP,66,1292,5001  >  58166 [ACK] Seq=1 Ack=1792625 Win=1292 Len=0 TSval=1140264720 TSecr=1525047658
260,15.224219,192.168.2.2,192.168.1.2,TCP,66,1275,5001  >  58166 [ACK] Seq=1 Ack=1857785 Win=1275 Len=0 TSval=1140265120 TSecr=1525047658
261,15.769096,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1875161 Win=1307 Len=0 TSval=1140265665 TSecr=1525048055
263,15.915123,192.168.2.2,192.168.1.2,TCP,66,1292,5001  >  58166 [ACK] Seq=1 Ack=1922945 Win=1292 Len=0 TSval=1140265811 TSecr=1525048202
